X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.35793316,3.5350387,9.143456,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.33039984,3.5338416,9.057265,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24061728,3.4620156,9.115923,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.08259996,3.441665,9.288305,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.05267244,3.3770216,9.388862,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10055647,3.369839,9.417592,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2753332,3.4440591,9.307459,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.36990416,3.502717,9.19134,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2657564,3.5326445,9.01776,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1412579,3.4979286,9.064447,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11492168,3.4021606,9.266758,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1340753,3.3554738,9.465476,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1352724,3.3877954,9.534908,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16639702,3.4201171,9.360131,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19273324,3.4727895,9.1255,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2657564,3.5290532,8.945934,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.39624038,3.5661635,9.109938,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.36272156,3.4476504,9.291897,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.15562311,3.3614593,9.421184,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.019153614,3.359065,9.434352,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.095768064,3.4153287,9.363723,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16879122,3.5051112,9.147048,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2813187,3.5218706,9.113529,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.31004912,3.4811692,9.168595,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23104046,3.3842041,9.226056,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
